PWM,Current (mA),
0,1.6113281249999998,
64,4.296875,
128,14.501953125,
192,61.767578125,
256,68.21289062499999,
320,127.83203125,
384,193.896484375,
448,227.19726562499997,
512,330.859375,
576,397.99804687499994,
640,474.8046875,
704,602.0996093749999,
768,717.578125,
832,830.3710937499999,
896,956.0546875,
960,1104.2968749999998,
1024,1265.9667968749998
